Brix,Violet,Blue,Green,Yellow,Orange,Red
9.6,34,38,45,63,28,35
9.4,34,38,45,63,29,35
9.5,34,37,45,63,28,34
8,51,36,47,62,30,41
8,51,33,47,62,30,40
8,51,32,47,62,30,39
7.8,42,36,45,65,32,44
7.7,41,37,46,66,32,43
7.3,41,36,45,65,32,42
9.8,40,36,47,62,31,40
9.8,39,36,46,61,30,39
9.8,39,36,48,63,32,39
8.5,50,40,44,56,27,34
8.7,49,39,45,57,28,34
8.6,49,39,46,57,28,33
8.9,41,33,47,62,34,33
8.9,41,33,47,62,34,33
9,41,32,47,62,33,31
7.8,35,32,52,64,34,35
8.1,35,31,51,63,33,34
8.2,34,31,50,62,32,33
8.5,27,26,44,51,29,26
8.5,27,26,40,47,27,25
8.6,27,26,43,51,29,26
6.5,31,29,36,48,22,30
6.4,31,29,36,48,23,29
7,31,29,36,48,22,29
6.5,27,28,34,46,21,26
6.7,27,26,34,46,21,26
6.7,27,25,34,46,21,25
6,27,25,34,46,21,25
6,35,26,35,45,23,29
6,35,26,35,45,23,29
6,27,25,33,43,21,28
6,26,24,33,43,20,27
6,26,24,33,43,21,27
8,34,26,36,48,24,30
8.1,34,26,36,48,24,30
8.4,34,25,36,48,24,29
8.7,39,32,37,55,23,28
8.7,39,32,37,56,23,28
8.7,40,33,37,56,23,28
8.5,30,27,42,56,26,23
8.5,29,27,42,55,26,23
8.5,29,27,42,56,26,23
7.2,30,30,43,54,27,30
8,30,29,43,54,27,30
8,30,29,43,54,27,29
8.6,25,27,38,50,25,26
8.3,25,27,38,50,25,25
8.4,25,27,38,50,25,25
8.6,35,35,43,62,28,33
8.6,34,35,43,62,28,33
8.6,34,35,43,62,28,32
8.3,42,33,45,58,32,37
8.3,42,33,45,58,32,36
8.3,42,33,45,58,32,36
7.9,32,29,45,57,29,27
7.9,31,28,45,57,29,27
7.9,31,29,45,57,30,27
10.4,52,37,53,69,38,44
10.2,52,37,53,69,38,44
10,52,37,53,69,38,43
10.5,49,41,45,63,29,44
10.3,49,41,45,63,29,44
10.1,49,40,45,63,29,43
10.4,39,37,44,61,31,42
10.2,39,37,44,61,31,41
10.3,39,36,44,61,31,41
9.3,40,32,41,57,29,33
9.4,40,32,41,57,29,33
9.4,40,32,41,57,29,32
9,35,36,44,62,29,37
9.1,34,35,41,60,26,35
9,35,36,44,62,28,35
9,42,34,39,57,27,39
9.5,42,34,39,57,27,38
9.9,42,34,38,57,27,38
8.8,41,30,37,52,26,35
8.7,40,30,37,52,26,34
8.6,39,30,37,51,26,33
9.3,35,39,34,56,26,39
9.2,34,35,34,56,25,38
9.1,34,34,34,55,25,37
8.4,29,34,39,56,28,34
8.3,28,37,38,56,28,33
8.2,28,34,38,56,27,32
7.9,40,34,39,57,28,40
7.7,39,34,39,57,28,39
7.7,38,34,39,56,28,38
8,39,35,48,65,34,36
7.9,39,35,48,65,34,35
7.9,39,35,48,64,34,35
8.5,48,41,44,66,32,47
8.4,47,39,42,64,30,45
8.5,47,40,44,66,32,45
7.2,33,33,42,56,27,28
7.2,33,32,41,54,26,27
7.4,33,33,42,56,28,28
7.4,29,32,45,59,29,32
7.3,29,32,45,59,28,31
7.3,29,31,45,60,29,31
7.9,42,30,34,50,26,38
7.6,42,30,34,50,25,37
7.3,42,30,34,51,26,37
7.9,38,37,42,60,29,36
7.9,39,33,42,61,29,36
8,39,33,43,61,30,36
7.6,38,40,34,60,24,42
7.7,38,40,34,60,24,41
7.7,38,40,34,59,24,41
8.1,34,34,43,58,28,34
8.1,34,35,45,60,30,34
8,33,34,43,59,28,33
8,41,42,47,66,29,42
8.2,40,42,48,67,29,41
8.2,40,42,48,67,29,41
7.8,44,39,48,68,31,43
8.2,44,39,48,67,31,42
8.4,44,39,48,67,30,41
7.3,36,26,25,40,20,35
7.2,38,27,30,44,23,35
7.2,41,28,30,46,24,36
6.5,37,19,42,41,33,19
6.4,47,22,40,45,33,31
6.4,48,21,40,44,32,30
7.2,45,40,47,66,32,47
7.2,42,40,50,69,34,44
